f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,agglutination
417,312,0,56,393,49,569,5,58,71,240,288,38,553,209,890,4,41,69,222,109,317,386,51,573,235,940,314,486,2,49,81,249,157,343,189,43,479,225,992,299,475,75,191,96,298,124,266,854,320,432,138,338,173,305,459,127,5081,2654,0
46,15,1,13,16,12,44,1,21,25,50,14,15,57,76,39,2,19,29,81,56,20,16,6,37,81,57,26,8,0,7,15,39,37,15,18,8,44,37,28,15,7,17,62,37,5,8,31,26,11,0,29,16,7,26,7,19,104,123,1
799,507,9,121,732,117,948,8,103,129,410,514,95,891,387,1211,13,104,135,469,252,546,704,144,895,456,1500,511,620,4,120,135,565,314,583,321,130,983,535,1500,520,671,134,422,266,535,249,410,1330,613,672,292,577,311,473,735,234,7732,4905,1
4210,1694,124,862,1892,932,3056,87,878,1132,2863,1723,854,3262,2959,3055,85,870,1351,3419,2213,1654,1798,871,3041,3238,3454,1663,930,95,836,1255,3130,2065,1682,1386,903,3015,3436,3265,1628,930,1121,2867,2133,1549,1304,2680,3085,1615,889,2075,1636,1344,1631,956,1264,9751,13753,1
3186,2722,27,702,2042,543,5045,28,533,963,3562,2662,724,4954,3418,8675,29,687,875,2641,1876,2782,1968,537,4862,2550,6610,3019,3029,37,692,867,2601,1928,2778,1044,569,4964,2677,6502,2985,3045,978,3492,2012,3065,1417,3257,8471,2721,2935,1836,2693,1041,3057,2986,1373,27505,18446,0
4439,3872,31,830,2983,683,7005,31,710,1194,4540,3886,902,7143,4591,12481,37,875,1098,3519,2460,4063,2989,730,7037,3526,10101,4199,4866,34,866,1136,3603,2466,3978,1296,662,7002,3556,10121,4259,4939,1216,4581,2449,4172,1872,4538,12569,3952,4888,2475,3936,1250,4222,4903,1870,48527,25570,0
1913,1000,20,288,1349,313,1892,18,330,312,848,1023,312,1679,773,1932,16,312,410,1150,632,1161,1323,331,1764,1385,2773,1020,1079,22,317,424,1393,775,1215,819,329,1683,1212,2875,1083,1092,296,792,658,1056,606,799,1854,1183,1045,715,1129,831,1091,1029,589,10704,9555,0
2833,2388,20,576,1828,482,4532,24,500,795,2861,2456,575,4532,3068,7630,22,583,833,2483,1822,2525,1802,484,4421,2343,6376,2776,2763,28,576,759,2407,1648,2497,952,480,4559,2448,6222,2729,2774,779,3004,1660,2730,1221,2953,7759,2568,2823,1682,2554,900,2713,2880,1249,26181,16157,0
1551,1466,12,237,1071,205,2790,7,173,342,1550,1423,253,2789,1556,5214,11,294,360,1228,785,1437,1096,207,2822,1202,4301,1536,2208,8,265,372,1368,766,1475,426,192,2872,1288,4466,1568,2189,342,1490,780,1536,570,1517,5512,1487,2221,776,1466,427,1537,2208,573,22188,9550,0
4235,2807,54,686,2546,619,3590,47,622,640,1991,2760,636,3685,1958,4889,48,674,711,1844,1310,2389,2502,652,3715,1845,4544,2316,2312,42,671,678,1862,1317,2353,1385,591,3653,1905,4572,2381,2425,693,1982,1245,2424,1590,2000,4947,2339,2305,1384,2285,1413,2377,2314,1661,25142,21046,0
5536,3093,82,930,2769,836,3468,77,856,803,1996,3171,848,3549,2045,3688,56,879,807,1767,1298,1939,2823,881,3589,1881,3319,1921,1527,70,839,799,1776,1418,1905,1300,821,3522,1767,3397,1981,1457,836,1973,1344,1881,1273,2071,3679,1883,1477,1394,1935,1269,1978,1438,1403,49172,21397,0
6274,4444,80,1054,3673,981,6189,76,957,1200,3583,4286,1176,6426,3515,8635,72,1141,1212,3440,2402,3698,3786,1060,6446,3396,8143,3909,3914,65,1142,1205,3393,2363,3714,2050,969,6445,3447,8189,4103,3798,1135,3763,2381,4203,2336,3629,8857,3771,3919,2426,3742,2141,3956,3803,2403,40232,32373,1
